Date,App,Age ,Gender,Do you order food from online food apps?  ,How frequently do you use food apps? ,How much do you spend on an average on food on each transaction,What time during the day do you order the food most often?,Rate your overall satisfaction with the restaurant that you ordered food recently.,I pay much attention on the price discount offered by vendor.,The money saved by finding lower price usually worth the time and effort.,The time it took to find lower price usually worth the effort.,I am willing to go to extra to find lower price.,"Getting coupons from food app, I feel I am getting a good deal.",The restaurant vendor is trustworthy.,Restaurant wants to be known as one who Keep's promises and commitment.,I find it necessary to be cautious with this Restaurant.,I trust this store keeps my best interest in my mind.,This retailer has more to lose than to gain by not delivering on their promise,The food is fresh what delivered by restaurant.,Restaurant has good variety in their menu.,The food is delicious.,Hot food is served by restaurant vendor.,Food is tasty and flavored,Food is quickly delivered,Food is delivered on promised time.,Average on-road time taken is satisfactory.,The rating of the restaurant was high,The reviews of the restaurant was good,I will make purchase again on the food apps.,I will visit food apps again in the future.,I intend to recommend the online food apps that I regularly use to people around me.,I will never purchase from the same vendor.," Have you faced any problems with online food apps?If yes, please state "
3/3/2020,Zomato,22,Female,Yes,Monthly,500-750,Dinner,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,
3/4/2020,Zomato,22,Male,Yes,Monthly,500-750,Lunch,Strongly Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Neutral,Agree,Agree,Strongly disagree,
3/4/2020,Zomato,22,Male,Yes,Monthly,500-750,Lunch,Strongly Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Neutral,Agree,Agree,Strongly disagree,
3/4/2020,Zomato,22,Male,Yes,Monthly,250-500,Lunch,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,
3/4/2020,Zomato,22,Female,Yes,Monthly,250-500,Dinner,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly disagree,
3/4/2020,Swiggy,18,Female,Yes,Monthly,500-750,Dinner,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Neutral,
3/4/2020,Swiggy,22,Female,Yes,Monthly,1000+,Dinner,Strongly Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,
3/5/2020,Zomato,22,Female,Yes,Weekly,250-500,Dinner,Strongly Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Strongly Disagree,Agree,Agree,Neutral,Agree,Agree,Strongly disagree,
3/5/2020,UberEATS,22,Male,Yes,Monthly,below 250,Dinner,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,
3/5/2020,Swiggy,18,Female,Yes,Monthly,250-500,Dinner,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,
3/5/2020,Zomato,22,Male,No,Monthly,500-750,Dinner,Strongly Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,
3/5/2020,Zomato,22,Male,Yes,Monthly,250-500,Lunch,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,No
3/5/2020,Others,18,Female,Yes,Monthly,below 250,Snacks,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Disagree,
3/5/2020,Zomato,26,Male,Yes,Monthly,1000+,Lunch,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly agree,
3/5/2020,Swiggy,22,Male,Yes,Monthly,250-500,Lunch,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,
3/5/2020,Zomato,22,Male,Yes,Monthly,250-500,Snacks,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,
3/5/2020,Zomato,22,Male,Yes,Monthly,1000+,Dinner,strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,
3/5/2020,Swiggy,22,Male,Yes,Weekly,250-500,Lunch,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,
3/5/2020,Zomato,18,Female,Yes,Monthly,250-500,Dinner,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,
3/5/2020,Zomato,22,Male,Yes,Monthly,below 250,Dinner,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,
3/5/2020,Zomato,22,Male,Yes,Monthly,250-500,Dinner,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,
3/5/2020,Zomato,22,Male,Yes,Monthly,250-500,Dinner,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly disagree,Agree,Strongly Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly Agree,Agree,Disagree,
3/5/2020,Zomato,18,Female,Yes,Monthly,250-500,Dinner,Agree,Agree,Strongly agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,
3/5/2020,Swiggy,26,Male,Yes,Monthly,1000+,Dinner,Agree,Strongly agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,
3/5/2020,Zomato,22,Male,Yes,Monthly,250-500,Dinner,strongly disagree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Disagree,
3/5/2020,Swiggy,22,Male,Yes,Monthly,250-500,Dinner,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Strongly agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Disagree,
3/5/2020,Zomato,26,Male,Yes,Monthly,250-500,Dinner,Agree,Agree,Strongly agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,
3/5/2020,Zomato,22,Male,Yes,Monthly,250-500,Dinner,Agree,Strongly agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Neutral,Strongly disagree,Poor quality
3/5/2020,Swiggy,22,Male,Yes,Monthly,1000+,Dinner,strongly disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,
3/6/2020,Swiggy,22,Male,Yes,Monthly,1000+,Dinner,strongly disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,
3/6/2020,Swiggy,22,Female,Yes,Monthly,below 250,Snacks,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,
3/6/2020,Zomato,26,Male,Yes,Monthly,500-750,Dinner,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,
3/6/2020,Zomato,18,Male,Yes,Monthly,250-500,Lunch,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly disagree,
3/6/2020,Zomato,22,Male,Yes,Monthly,250-500,Dinner,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly disagree,
3/6/2020,Zomato,22,Male,Yes,Monthly,500-750,Dinner,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,
3/6/2020,Swiggy,22,Female,Yes,Monthly,1000+,Dinner,Strongly Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,
3/6/2020,Zomato,26,Male,Yes,Monthly,500-750,Dinner,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,
3/6/2020,Swiggy,22,Male,Yes,Monthly,250-500,Dinner,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,
3/6/2020,Zomato,22,Male,Yes,Weekly,250-500,Dinner,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly disagree,
3/6/2020,Swiggy,18,Female,Yes,Monthly,250-500,Lunch,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,
3/6/2020,Zomato,26,Male,Yes,Monthly,500-750,Dinner,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,
3/6/2020,Zomato,22,Male,Yes,Monthly,1000+,Snacks,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,
3/6/2020,Food Panda,18,Male,Yes,Monthly,500-750,Dinner,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly disagree,
3/6/2020,Zomato,22,Male,Yes,Monthly,250-500,Dinner,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,
3/7/2020,Zomato,22,Male,Yes,Monthly,250-500,Dinner,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,
3/7/2020,Swiggy,22,Female,Yes,Monthly,250-500,Dinner,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,
3/7/2020,Swiggy,22,Male,Yes,Monthly,250-500,Dinner,Strongly Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,
3/7/2020,Swiggy,22,Male,Yes,Monthly,250-500,Lunch,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,
3/7/2020,Zomato,22,Male,Yes,Weekly,250-500,Snacks,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly disagree,
3/7/2020,Food Panda,18,Female,Yes,Weekly,250-500,Dinner,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,
3/7/2020,Zomato,22,Male,Yes,Monthly,1000+,Lunch,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,
3/7/2020,Zomato,22,Male,Yes,Monthly,250-500,Lunch,strongly disagree,Disagree,Strongly agree,Agree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,
3/7/2020,Zomato,22,Male,Yes,Weekly,250-500,Dinner,Agree,Strongly agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly disagree,
3/8/2020,Zomato,22,Male,Yes,Monthly,500-750,Dinner,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,
3/8/2020,Zomato,22,Male,Yes,Monthly,500-750,Lunch,Strongly Agree,Agree,Strongly agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Food is different from image
3/9/2020,Swiggy,18,Female,Yes,Monthly,250-500,Dinner,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,
3/9/2020,Swiggy,18,Female,Yes,Monthly,250-500,Dinner,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,
3/9/2020,Zomato,18,Female,Yes,Monthly,250-500,Dinner,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Disagree,
3/9/2020,Swiggy,22,Female,Yes,Weekly,below 250,Lunch,strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Strongly disagree,
3/9/2020,Zomato,22,Male,Yes,Monthly,500-750,Snacks,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,
3/9/2020,Swiggy,22,Female,Yes,Weekly,below 250,Lunch,strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Strongly disagree,
3/9/2020,Zomato,22,Male,Yes,Monthly,500-750,Snacks,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,
3/9/2020,Swiggy,18,Female,Yes,Weekly,250-500,Lunch,strongly disagree,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
3/9/2020,Zomato,26,Male,Yes,Weekly,250-500,Dinner,Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly disagree,
