"Timestamp","Age ","Gender","Do you order food from online food apps?  ","Which food app do you use?  ","How frequently do you use food apps? ","How much do you spend on an average on food on each transaction","What time during the day do you order the food most often?","Rate your overall satisfaction with the restaurant that you ordered food recently.","I pay much attention on the price discount offered by vendor.","The money saved by finding lower price usually worth the time and effort.","The time it took to find lower price usually worth the effort.","I am willing to go to extra to find lower price.","Getting coupons from food app, I feel I am getting a good deal.","The restaurant vendor is trustworthy.","Restaurant wants to be known as one who Keep's promises and commitment.","I find it necessary to be cautious with this Restaurant.","I trust this store keeps my best interest in my mind.","This retailer has more to lose than to gain by not delivering on their promise","The food is fresh what delivered by restaurant.","Restaurant has good variety in their menu.","The food is delicious.","Hot food is served by restaurant vendor.","Food is tasty and flavored","Food is quickly delivered","Food is delivered on promised time.","Average on-road time taken is satisfactory.","The rating of the restaurant was high","The reviews of the restaurant was good","I will make purchase again on the food apps.","I will visit food apps again in the future.","I intend to recommend the online food apps that I regularly use to people around me.","I will never purchase from the same vendor."," Have you faced any problems with online food apps?If yes, please state "
"2020/02/26 3:57:12 PM GMT+5:30","18-21","Male","Yes","Zomato;Swiggy","Daily","250-500","Dinner","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Disagree","Disagree",""
"2020/02/27 11:41:47 AM GMT+5:30","22-25","Male","Yes","Zomato;UberEATS","Weekly","500-750","Snacks","Agree","Strongly agree","Agree","Disagree","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Agree","Neutral",""
"2020/02/27 3:12:51 PM GMT+5:30","26-29","Male","Yes","Zomato;Swiggy;Food Panda;Others","Daily","below 250","Dinner","Neutral","Strongly disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Strongly Disagree","Neutral","Neutral","Agree","Disagree","Neutral","Agree","In Zomato recently in Manipal"
"2020/02/27 5:58:18 PM GMT+5:30","18-21","Female","Yes","Swiggy;Food Panda;UberEATS;Others","Monthly","1000+","Dinner","Neutral","Agree","Agree","Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly agree",""
"2020/02/27 5:59:41 PM GMT+5:30","22-25","Female","Yes","Swiggy;Food Panda;UberEATS","Weekly","500-750","Lunch","Agree","Strongly agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",""
"2020/02/27 9:12:29 PM GMT+5:30","22-25","Female","Yes","Food Panda;UberEATS;Others","Weekly","500-750","Snacks","Strongly Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","GPS Indication"
"2020/02/28 12:40:34 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;UberEATS","Daily","250-500","Lunch","Agree","Strongly agree","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Disagree","Strongly disagree","Only a few times when the restaurant fails to deliver what was promised."
"2020/02/29 8:59:33 AM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Monthly","250-500","Dinner","Agree","Neutral","Neutral","Agree","Disagree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Agree","Agree","Disagree",""
"2020/02/29 12:20:58 PM GMT+5:30","22-25","Female","Yes","Food Panda;UberEATS","Weekly","500-750","Lunch","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Neutral","Disagree","Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Agree",""
"2020/02/29 12:21:07 PM GMT+5:30","22-25","Female","Yes","Food Panda;UberEATS","Weekly","500-750","Lunch","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Neutral","Disagree","Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Agree",""
"2020/02/29 12:22:16 PM GMT+5:30","22-25","Male","Yes","Zomato;Food Panda;UberEATS","Weekly","500-750","Dinner","Strongly Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Disagree","Strongly disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree",""
"2020/02/29 12:23:36 PM GMT+5:30","22-25","Male","Yes","Food Panda;UberEATS","Weekly","250-500","Snacks","Neutral","Agree","Agree","Strongly agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Agree","Agree","Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree",""
"2020/02/29 12:26:46 PM GMT+5:30","22-25","Male","Yes","Swiggy;UberEATS","Weekly","500-750","Snacks","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree",""
"2020/02/29 12:30:54 PM GMT+5:30","18-21","Female","Yes","Zomato","Monthly","250-500","Dinner","Agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","No"
"2020/02/29 12:32:38 PM GMT+5:30","26-29","Male","Yes","Zomato;Swiggy;Food Panda","Monthly","500-750","Dinner","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Agree",""
"2020/02/29 12:35:19 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","1000+","Lunch","strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Disagree","Disagree","Neutral","Agree","Agree","Agree","Neutral","Agree","Neutral",""
"2020/02/29 12:37:21 PM GMT+5:30","22-25","Male","Yes","Swiggy","Monthly","500-750","Dinner","Agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Strongly Agree","Neutral","Neutral","Neutral",""
"2020/02/29 12:39:23 PM GMT+5:30","18-21","Female","Yes","Swiggy;Food Panda","Weekly","250-500","Lunch","Disagree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Neutral","Agree","Agree","Strongly Agree","Disagree","Disagree","Strongly disagree","Disagree","Agree","Neutral","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree",""
"2020/02/29 5:53:22 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;Food Panda","Monthly","250-500","Dinner","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","GPS location "
"2020/02/29 5:54:19 PM GMT+5:30","22-25","Male","Yes","Zomato","Weekly","below 250","Snacks","Neutral","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree",""
"2020/02/29 5:55:36 PM GMT+5:30","22-25","Male","Yes","Swiggy","Monthly","250-500","Lunch","Strongly Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Strongly Disagree","Agree","Agree","Neutral","Agree","Strongly Agree","Agree",""
"2020/02/29 5:56:41 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;Food Panda;UberEATS;Others","Monthly","1000+","Dinner","Strongly Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly agree",""
"2020/02/29 5:57:36 PM GMT+5:30","22-25","Male","Yes","Zomato","Weekly","250-500","Lunch","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree",""
"2020/03/01 7:54:27 AM GMT+5:30","18-21","Female","Yes","Zomato","Weekly","250-500","Lunch","Neutral","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly Agree","Neutral","Neutral","Disagree","Agree","Agree","Agree","Strongly disagree","Neutral","Agree","Strongly disagree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral",""
"2020/03/01 7:56:20 AM GMT+5:30","22-25","Female","Yes","Zomato;Swiggy","Monthly","500-750","Dinner","Strongly Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree",""
"2020/03/01 7:58:33 AM GMT+5:30","22-25","Female","Yes","Swiggy;Food Panda;Others","Weekly","1000+","Dinner","strongly disagree","Agree","Agree","Agree","Strongly agree","Agree","Strongly Disagree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Agree","Strongly Agree","Agree","Agree",""
"2020/03/01 8:00:45 AM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Monthly","250-500","Dinner","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree",""
"2020/03/01 9:02:33 AM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","500-750","Dinner","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",""
"2020/03/01 9:03:59 AM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Weekly","1000+","Lunch","strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly Agree","Strongly Disagree","Disagree","Neutral","Strongly Agree","Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree",""
"2020/03/01 9:05:57 AM GMT+5:30","22-25","Male","Yes","Swiggy;Food Panda;UberEATS","Monthly","1000+","Lunch","Strongly Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Poor Food Quality "
"2020/03/01 10:39:18 AM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;Food Panda","Monthly","1000+","Lunch","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly Agree","Strongly agree",""
"2020/03/01 11:58:25 AM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Weekly","500-750","Dinner","Strongly Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly agree",""
"2020/03/01 12:54:18 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","500-750","Dinner","Strongly Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree",""
"2020/03/01 2:00:40 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","500-750","Dinner","Strongly Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Disagree","Strongly Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Charge more taxes"
"2020/03/01 2:01:34 PM GMT+5:30","22-25","Female","Yes","Zomato;Swiggy;Food Panda;UberEATS;Others","Monthly","250-500","Lunch","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree",""
"2020/03/01 2:02:20 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","250-500","Dinner","Strongly Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",""
"2020/03/01 2:03:11 PM GMT+5:30","26-29","Female","Yes","Zomato;Swiggy","Monthly","1000+","Lunch","Strongly Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Agree",""
"2020/03/01 2:04:48 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","1000+","Dinner","strongly disagree","Disagree","Strongly agree","Neutral","Strongly agree","Strongly Disagree","Disagree","Strongly Disagree","Strongly disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Neutral","Disagree","Agree","Agree","Neutral","Agree","Agree","Strongly disagree",""
"2020/03/01 2:05:39 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","below 250","Lunch","Strongly Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree",""
"2020/03/01 2:07:07 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;Food Panda","Monthly","1000+","Dinner","Neutral","Neutral","Neutral","Strongly agree","Strongly disagree","Strongly Disagree","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree",""
"2020/03/01 2:08:12 PM GMT+5:30","22-25","Male","Yes","UberEATS","Monthly","500-750","Dinner","Agree","Agree","Agree","Neutral","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",""
"2020/03/01 2:43:28 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","250-500","Dinner","Neutral","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree",""
"2020/03/01 2:44:21 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Monthly","1000+","Dinner","Strongly Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree",""
"2020/03/01 2:46:02 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;Food Panda","Monthly","500-750","Lunch","Neutral","Strongly agree","Agree","Agree","Strongly agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly disagree","Agree","Strongly Disagree","Neutral","Strongly disagree","Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Neutral","Agree","Agree","Agree","Agree",""
"2020/03/02 7:47:06 AM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Monthly","1000+","Dinner","Strongly Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Strongly disagree",""
"2020/03/02 7:49:29 AM GMT+5:30","22-25","Male","Yes","Zomato;UberEATS","Weekly","500-750","Dinner","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly disagree",""
"2020/03/02 7:51:44 AM GMT+5:30","22-25","Male","Yes","Zomato;Food Panda","Monthly","500-750","Dinner","Strongly Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Neutral","Agree","Strongly agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly agree",""
"2020/03/02 9:44:08 AM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;Food Panda","Monthly","1000+","Lunch","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly Agree","Strongly agree",""
"2020/03/02 9:45:01 AM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","250-500","Dinner","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree",""
"2020/03/02 1:27:14 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Monthly","250-500","Dinner","Strongly Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly disagree",""
"2020/03/02 1:28:09 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;Others","Monthly","1000+","Dinner","Strongly Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree",""
"2020/03/02 1:29:12 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;Food Panda;UberEATS","Monthly","1000+","Dinner","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Disagree","Strongly Agree","Agree","Agree","Agree","Agree","Neutral",""
"2020/03/02 1:30:23 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","500-750","Breakfast","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Strongly agree","Agree","Strongly Agree","Strongly agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",""
"2020/03/02 1:31:31 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","500-750","Dinner","Agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Agree","Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Strongly agree",""
"2020/03/02 6:43:31 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","250-500","Dinner","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree",""
"2020/03/02 6:44:26 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Monthly","500-750","Dinner","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Agree",""
"2020/03/02 6:46:50 PM GMT+5:30","22-25","Male","Yes","Zomato;Others","Monthly","1000+","Dinner","Strongly Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly Agree","Disagree","Disagree","Neutral","Strongly Agree","Neutral","Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Agree","Disagree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly disagree","Food is different from Image"
"2020/03/02 6:47:43 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;Food Panda","Monthly","500-750","Dinner","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",""
