"Timestamp","Age ","Gender","Do you order food from online food apps?  ","Which food app do you use?  ","How frequently do you use food apps? ","How much do you spend on an average on food on each transaction","What time during the day do you order the food most often?","Rate your overall satisfaction with the restaurant that you ordered food recently.","I pay much attention on the price discount offered by vendor.","The money saved by finding lower price usually worth the time and effort.","The time it took to find lower price usually worth the effort.","I am willing to go to extra to find lower price.","Getting coupons from food app, I feel I am getting a good deal.","The restaurant vendor is trustworthy.","Restaurant wants to be known as one who Keep's promises and commitment.","I find it necessary to be cautious with this Restaurant.","I trust this store keeps my best interest in my mind.","This retailer has more to lose than to gain by not delivering on their promise","The food is fresh what delivered by restaurant.","Restaurant has good variety in their menu.","The food is delicious.","Hot food is served by restaurant vendor.","Food is tasty and flavored","Food is quickly delivered","Food is delivered on promised time.","Average on-road time taken is satisfactory.","The rating of the restaurant was high","The reviews of the restaurant was good","I will make purchase again on the food apps.","I will visit food apps again in the future.","I intend to recommend the online food apps that I regularly use to people around me.","I will never purchase from the same vendor."," Have you faced any problems with online food apps?If yes, please state "
"2020/03/02 6:49:01 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","250-500","Dinner","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Strongly disagree",""
"2020/03/02 6:50:07 PM GMT+5:30","26-29","Male","Yes","Zomato;Swiggy;Others","Weekly","1000+","Lunch","Strongly Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Agree","Strongly Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Disagree",""
"2020/03/03 6:29:53 PM GMT+5:30","22-25","Female","Yes","Zomato;Swiggy","Monthly","500-750","Dinner","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Disagree",""
"2020/03/04 10:09:22 AM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Monthly","500-750","Lunch","Strongly Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Strongly Disagree","Agree","Agree","Neutral","Agree","Agree","Strongly disagree",""
"2020/03/04 3:29:14 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Monthly","500-750","Lunch","Strongly Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Strongly Disagree","Agree","Agree","Neutral","Agree","Agree","Strongly disagree",""
"2020/03/04 3:30:24 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","250-500","Lunch","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Neutral",""
"2020/03/04 3:33:10 PM GMT+5:30","22-25","Female","Yes","Zomato","Monthly","250-500","Dinner","Strongly Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly disagree","Disagree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly disagree",""
"2020/03/04 3:34:13 PM GMT+5:30","18-21","Female","Yes","Swiggy","Monthly","500-750","Dinner","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Neutral",""
"2020/03/04 3:37:48 PM GMT+5:30","22-25","Female","Yes","Swiggy;UberEATS","Monthly","1000+","Dinner","Strongly Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Disagree","Agree",""
"2020/03/05 3:13:27 PM GMT+5:30","22-25","Female","Yes","Zomato;Swiggy","Weekly","250-500","Dinner","Strongly Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Neutral","Disagree","Agree","Agree","Agree","Neutral","Agree","Strongly Disagree","Agree","Agree","Neutral","Agree","Agree","Strongly disagree",""
"2020/03/05 3:14:28 PM GMT+5:30","22-25","Male","Yes","UberEATS","Monthly","below 250","Dinner","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree",""
"2020/03/05 3:15:28 PM GMT+5:30","18-21","Female","Yes","Swiggy","Monthly","250-500","Dinner","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Disagree",""
"2020/03/05 5:38:37 PM GMT+5:30","22-25","Male","No","Zomato;Swiggy;Food Panda","Monthly","500-750","Dinner","Strongly Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree",""
"2020/03/05 5:40:00 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","250-500","Lunch","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly Agree","Disagree","Disagree","Neutral","Strongly Agree","Strongly Agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Disagree","No"
"2020/03/05 5:41:42 PM GMT+5:30","18-21","Female","Yes","Others","Monthly","below 250","Snacks","Agree","Agree","Agree","Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Disagree",""
"2020/03/05 5:42:34 PM GMT+5:30","26-29","Male","Yes","Zomato;Swiggy;Others","Monthly","1000+","Lunch","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly agree",""
"2020/03/05 5:43:38 PM GMT+5:30","22-25","Male","Yes","Swiggy","Monthly","250-500","Lunch","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly disagree","Disagree","Disagree","Disagree","Agree","Strongly Disagree","Disagree","Disagree","Neutral","Agree","Agree","Agree","Agree",""
"2020/03/05 5:44:40 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","250-500","Snacks","Strongly Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree",""
"2020/03/05 5:45:45 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","1000+","Dinner","strongly disagree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree",""
"2020/03/05 5:47:04 PM GMT+5:30","22-25","Male","Yes","Swiggy","Weekly","250-500","Lunch","Neutral","Neutral","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Strongly Agree","Disagree",""
"2020/03/05 5:48:17 PM GMT+5:30","18-21","Female","Yes","Zomato;Swiggy","Monthly","250-500","Dinner","Agree","Strongly agree","Agree","Agree","Strongly agree","Disagree","Strongly Disagree","Disagree","Neutral","Agree","Strongly Disagree","Agree","Agree","Agree","Neutral","Neutral","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral",""
"2020/03/05 5:49:05 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","below 250","Dinner","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Neutral","Disagree",""
"2020/03/05 6:36:24 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Monthly","250-500","Dinner","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Disagree","Agree","Agree","Agree","Agree","Neutral","Neutral",""
"2020/03/05 6:37:35 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Monthly","250-500","Dinner","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Neutral","Strongly disagree","Agree","Strongly Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly Agree","Agree","Disagree",""
"2020/03/05 6:38:42 PM GMT+5:30","18-21","Female","Yes","Zomato;Swiggy","Monthly","250-500","Dinner","Agree","Agree","Strongly agree","Agree","Disagree","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Disagree",""
"2020/03/05 6:39:29 PM GMT+5:30","26-29","Male","Yes","Swiggy","Monthly","1000+","Dinner","Agree","Strongly agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree",""
"2020/03/05 6:40:41 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;Food Panda","Monthly","250-500","Dinner","strongly disagree","Neutral","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Disagree",""
"2020/03/05 6:43:42 PM GMT+5:30","22-25","Male","Yes","Swiggy","Monthly","250-500","Dinner","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Strongly agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Neutral","Disagree",""
"2020/03/05 6:45:37 PM GMT+5:30","26-29","Male","Yes","Zomato;Swiggy","Monthly","250-500","Dinner","Agree","Agree","Strongly agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Strongly Disagree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree",""
"2020/03/05 6:47:21 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Monthly","250-500","Dinner","Agree","Strongly agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Disagree","Agree","Neutral","Strongly disagree","Poor quality "
"2020/03/05 6:48:34 PM GMT+5:30","22-25","Male","Yes","Swiggy;Food Panda","Monthly","1000+","Dinner","strongly disagree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree",""
"2020/03/06 8:29:22 AM GMT+5:30","22-25","Male","Yes","Swiggy;Food Panda","Monthly","1000+","Dinner","strongly disagree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree",""
"2020/03/06 8:32:08 AM GMT+5:30","22-25","Female","Yes","Swiggy","Monthly","below 250","Snacks","Neutral","Neutral","Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree",""
"2020/03/06 8:42:04 AM GMT+5:30","26-29","Male","Yes","Zomato;Swiggy","Monthly","500-750","Dinner","Agree","Strongly agree","Agree","Agree","Strongly agree","Neutral","Disagree","Disagree","Disagree","Agree","Neutral","Neutral","Strongly disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree",""
"2020/03/06 9:23:46 AM GMT+5:30","18-21","Male","Yes","Zomato","Monthly","250-500","Lunch","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Neutral","Neutral","Neutral","Disagree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Strongly disagree",""
"2020/03/06 11:09:53 AM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","250-500","Dinner","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly disagree",""
"2020/03/06 11:10:51 AM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Monthly","500-750","Dinner","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral",""
"2020/03/06 11:12:05 AM GMT+5:30","22-25","Female","Yes","Swiggy;Others","Monthly","1000+","Dinner","Strongly Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Disagree",""
"2020/03/06 12:51:53 PM GMT+5:30","26-29","Male","Yes","Zomato;Swiggy","Monthly","500-750","Dinner","Agree","Strongly agree","Agree","Agree","Strongly agree","Neutral","Disagree","Disagree","Disagree","Agree","Neutral","Neutral","Strongly disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree",""
"2020/03/06 12:54:51 PM GMT+5:30","22-25","Male","Yes","Swiggy","Monthly","250-500","Dinner","Agree","Agree","Strongly agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Neutral","Agree","Agree","Neutral",""
"2020/03/06 5:57:42 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Weekly","250-500","Dinner","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Strongly disagree",""
"2020/03/06 7:57:53 PM GMT+5:30","18-21","Female","Yes","Swiggy","Monthly","250-500","Lunch","Agree","Strongly agree","Strongly agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Disagree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral",""
"2020/03/06 7:59:15 PM GMT+5:30","26-29","Male","Yes","Zomato;Swiggy;Food Panda;UberEATS","Monthly","500-750","Dinner","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Disagree",""
"2020/03/06 8:00:20 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","1000+","Snacks","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Disagree","Agree","Agree","Agree",""
"2020/03/06 8:02:05 PM GMT+5:30","18-21","Male","Yes","Food Panda;UberEATS","Monthly","500-750","Dinner","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Strongly disagree",""
"2020/03/06 8:03:47 PM GMT+5:30","22-25","Male","Yes","Zomato;Food Panda","Monthly","250-500","Dinner","Agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral",""
"2020/03/07 3:08:38 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Monthly","250-500","Dinner","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Disagree",""
"2020/03/07 3:10:09 PM GMT+5:30","22-25","Female","Yes","Swiggy;Food Panda","Monthly","250-500","Dinner","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Disagree",""
"2020/03/07 7:42:16 PM GMT+5:30","22-25","Male","Yes","Swiggy","Monthly","250-500","Dinner","Strongly Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Agree","Neutral","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Strongly agree","Agree","Neutral","Disagree","Agree","Agree","Agree","Agree","Agree","Agree",""
"2020/03/07 7:43:25 PM GMT+5:30","22-25","Male","Yes","Swiggy","Monthly","250-500","Lunch","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree",""
"2020/03/07 7:45:02 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Weekly","250-500","Snacks","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Strongly disagree",""
"2020/03/07 7:45:53 PM GMT+5:30","18-21","Female","Yes","Food Panda;UberEATS","Weekly","250-500","Dinner","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree",""
"2020/03/07 7:47:18 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Monthly","1000+","Lunch","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Disagree","Neutral","Agree","Agree","Agree","Agree","Strongly disagree","Disagree","Agree","Neutral","Strongly Disagree","Disagree","Strongly Disagree","Neutral","Agree","Agree","Agree","Agree","Agree",""
"2020/03/07 8:28:51 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;Others","Monthly","250-500","Lunch","strongly disagree","Disagree","Strongly agree","Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly disagree",""
"2020/03/07 8:30:04 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Weekly","250-500","Dinner","Agree","Strongly agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Strongly disagree",""
"2020/03/08 11:26:58 AM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Monthly","500-750","Dinner","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly disagree",""
"2020/03/08 11:28:41 AM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;Food Panda;UberEATS;Others","Monthly","500-750","Lunch","Strongly Agree","Agree","Strongly agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Neutral","Disagree","Neutral","Agree","Disagree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Strongly Agree","Disagree","Food is different from image "
"2020/03/09 10:23:57 AM GMT+5:30","18-21","Female","Yes","Swiggy","Monthly","250-500","Dinner","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Disagree",""
"2020/03/09 10:24:03 AM GMT+5:30","18-21","Female","Yes","Swiggy","Monthly","250-500","Dinner","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Disagree",""
"2020/03/09 10:40:34 AM GMT+5:30","18-21","Female","Yes","Zomato;Swiggy","Monthly","250-500","Dinner","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Strongly agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Neutral","Disagree",""
"2020/03/09 10:42:32 AM GMT+5:30","22-25","Female","Yes","Swiggy","Weekly","below 250","Lunch","strongly disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Agree","Agree","Agree","Disagree","Strongly disagree",""
"2020/03/09 10:43:57 AM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;Food Panda","Monthly","500-750","Snacks","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Disagree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree",""
"2020/03/09 10:44:15 AM GMT+5:30","22-25","Female","Yes","Swiggy","Weekly","below 250","Lunch","strongly disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Agree","Agree","Agree","Disagree","Strongly disagree",""
"2020/03/09 10:48:21 AM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;Food Panda","Monthly","500-750","Snacks","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Disagree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree",""
"2020/03/09 2:37:01 PM GMT+5:30","18-21","Female","Yes","Swiggy","Weekly","250-500","Lunch","strongly disagree","Strongly disagree","Neutral","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",""
"2020/03/09 8:23:05 PM GMT+5:30","26-29","Male","Yes","Zomato;Swiggy;UberEATS","Weekly","250-500","Dinner","Strongly Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Strongly disagree",""